time = 12.001	Re = 1	40	80
0.189414	0.014907	0.005996	0
0.209353	0.016476	-0.005996	1
0.229291	0.018046	-0.014852	2
0.249229	0.019615	-0.021038	3
0.269168	0.021184	-0.024868	4
0.289106	0.022753	-0.026554	5
0.309044	0.024322	-0.026243	6
0.328983	0.025891	-0.024036	7
0.348921	0.027461	-0.020003	8
0.368859	0.029030	-0.014193	9
0.388798	0.030599	-0.006639	10
0.408736	0.032168	0.002635	11
0.428674	0.033737	0.013612	12
0.448613	0.035307	0.026278	13
0.468551	0.036876	0.040625	14
0.488489	0.038445	0.056643	15
0.508428	0.040014	0.074324	16
0.528366	0.041583	0.093659	17
0.548305	0.043152	0.114639	18
0.568243	0.044722	0.137252	19
0.588181	0.046291	0.161488	20
0.608120	0.047860	0.187333	21
0.628058	0.049429	0.214776	22
0.647996	0.050998	0.243803	23
0.667935	0.052568	0.274401	24
0.687873	0.054137	0.306557	25
0.707811	0.055706	0.340259	26
0.727750	0.057275	0.375497	27
0.747688	0.058844	0.412260	28
0.767626	0.060413	0.450543	29
0.787565	0.061983	0.490338	30
0.807503	0.063552	0.531643	31
0.827441	0.065121	0.574457	32
0.847380	0.066690	0.618779	33
0.867318	0.068259	0.664614	34
0.887256	0.069829	0.711964	35
0.907195	0.071398	0.760837	36
0.927133	0.072967	0.811239	37
0.947071	0.074536	0.863178	38
0.967010	0.076105	0.916662	39
0.986948	0.077674	0.971700	40
1.006887	0.079244	1.028300	41
0
0.187661	0.029723	0.005959	0
0.207415	0.032851	-0.005959	1
0.227168	0.035980	-0.014753	2
0.246922	0.039109	-0.020899	3
0.266676	0.042237	-0.024713	4
0.286430	0.045366	-0.026406	5
0.306183	0.048495	-0.026121	6
0.325937	0.051623	-0.023956	7
0.345691	0.054752	-0.019977	8
0.365445	0.057881	-0.014228	9
0.385198	0.061009	-0.006739	10
0.404952	0.064138	0.002471	11
0.424706	0.067267	0.013387	12
0.444460	0.070395	0.026000	13
0.464214	0.073524	0.040303	14
0.483967	0.076653	0.056289	15
0.503721	0.079782	0.073951	16
0.523475	0.082910	0.093282	17
0.543229	0.086039	0.114271	18
0.562982	0.089168	0.136908	19
0.582736	0.092296	0.161181	20
0.602490	0.095425	0.187075	21
0.622244	0.098554	0.214576	22
0.641997	0.101682	0.243668	23
0.661751	0.104811	0.274335	24
0.681505	0.107940	0.306561	25
0.701259	0.111068	0.340332	26
0.721013	0.114197	0.375633	27
0.740766	0.117326	0.412454	28
0.760520	0.120454	0.450784	29
0.780274	0.123583	0.490617	30
0.800028	0.126712	0.531947	31
0.819781	0.129840	0.574772	32
0.839535	0.132969	0.619093	33
0.859289	0.136098	0.664912	34
0.879043	0.139227	0.712237	35
0.898796	0.142355	0.761073	36
0.918550	0.145484	0.811429	37
0.938304	0.148613	0.863316	38
0.958058	0.151741	0.916745	39
0.977811	0.154870	0.971727	40
0.997565	0.157999	1.028273	41
1
0.184750	0.044355	0.005897	0
0.204198	0.049023	-0.005897	1
0.223645	0.053692	-0.014593	2
0.243092	0.058361	-0.020677	3
0.262540	0.063030	-0.024466	4
0.281987	0.067699	-0.026170	5
0.301435	0.072368	-0.025927	6
0.320882	0.077037	-0.023829	7
0.340329	0.081706	-0.019936	8
0.359777	0.086375	-0.014285	9
0.379224	0.091044	-0.006900	10
0.398672	0.095713	0.002205	11
0.418119	0.100381	0.013022	12
0.437566	0.105050	0.025547	13
0.457014	0.109719	0.039777	14
0.476461	0.114388	0.055710	15
0.495909	0.119057	0.073339	16
0.515356	0.123726	0.092660	17
0.534803	0.128395	0.113663	18
0.554251	0.133064	0.136337	19
0.573698	0.137733	0.160669	20
0.593146	0.142402	0.186641	21
0.612593	0.147070	0.214236	22
0.632040	0.151739	0.243434	23
0.651488	0.156408	0.274215	24
0.670935	0.161077	0.306558	25
