time = 12.001	Re = 1	40	80
0.197538	0.031287	0.000000	0
0.217291	0.034416	0.000112	1
0.237045	0.037544	0.000401	2
0.256799	0.040673	0.000813	3
0.276553	0.043802	0.001302	4
0.296307	0.046930	0.001825	5
0.316060	0.050059	0.002342	6
0.335814	0.053188	0.002817	7
0.355568	0.056316	0.003212	8
0.375322	0.059445	0.003492	9
0.395075	0.062574	0.003622	10
0.414829	0.065702	0.003569	11
0.434583	0.068831	0.003297	12
0.454337	0.071960	0.002773	13
0.474090	0.075088	0.001963	14
0.493844	0.078217	0.000833	15
0.513598	0.081346	-0.000650	16
0.533352	0.084475	-0.002520	17
0.553105	0.087603	-0.004809	18
0.572859	0.090732	-0.007551	19
0.592613	0.093861	-0.010779	20
0.612367	0.096989	-0.014525	21
0.632121	0.100118	-0.018820	22
0.651874	0.103247	-0.023697	23
0.671628	0.106375	-0.029188	24
0.691382	0.109504	-0.035323	25
0.711136	0.112633	-0.042134	26
0.730889	0.115761	-0.049650	27
0.750643	0.118890	-0.057903	28
0.770397	0.122019	-0.066923	29
0.790151	0.125147	-0.076739	30
0.809904	0.128276	-0.087382	31
0.829658	0.131405	-0.098881	32
0.849412	0.134534	-0.111267	33
0.869166	0.137662	-0.124569	34
0.888920	0.140791	-0.138817	35
0.908673	0.143920	-0.154042	36
0.928427	0.147048	-0.170274	37
0.948181	0.150177	-0.187544	38
0.967935	0.153306	-0.205882	39
0.987688	0.156434	-0.225320	40
1
0.194474	0.046689	0.000000	0
0.213921	0.051358	0.000111	1
0.233369	0.056027	0.000396	2
0.252816	0.060696	0.000804	3
0.272264	0.065365	0.001287	4
0.291711	0.070034	0.001806	5
0.311158	0.074702	0.002319	6
0.330606	0.079371	0.002791	7
0.350053	0.084040	0.003185	8
0.369501	0.088709	0.003466	9
0.388948	0.093378	0.003600	10
0.408395	0.098047	0.003552	11
0.427843	0.102716	0.003287	12
0.447290	0.107385	0.002772	13
0.466738	0.112054	0.001973	14
0.486185	0.116723	0.000855	15
0.505632	0.121391	-0.000616	16
0.525080	0.126060	-0.002473	17
0.544527	0.130729	-0.004750	18
0.563975	0.135398	-0.007481	19
0.583422	0.140067	-0.010698	20
0.602869	0.144736	-0.014435	21
0.622317	0.149405	-0.018724	22
0.641764	0.154074	-0.023596	23
0.661212	0.158743	-0.029085	24
0.680659	0.163412	-0.035220	25
0.700106	0.168081	-0.042032	26
0.719554	0.172749	-0.049553	27
0.739001	0.177418	-0.057813	28
0.758449	0.182087	-0.066840	29
0.777896	0.186756	-0.076666	30
0.797343	0.191425	-0.087318	31
0.816791	0.196094	-0.098828	32
