time = 12.001	Re = 1	40	80
0.199846	0.007852	0.000000	0
0.219830	0.008637	-0.000021	1
0.239815	0.009422	-0.000070	2
0.259800	0.010208	-0.000131	3
0.279784	0.010993	-0.000190	4
0.299769	0.011778	-0.000239	5
0.319753	0.012563	-0.000272	6
0.339738	0.013348	-0.000286	7
0.359722	0.014134	-0.000281	8
0.379707	0.014919	-0.000256	9
0.399692	0.015704	-0.000215	10
0.419676	0.016489	-0.000158	11
0.439661	0.017274	-0.000090	12
0.459645	0.018060	-0.000014	13
0.479630	0.018845	0.000066	14
0.499615	0.019630	0.000148	15
0.519599	0.020415	0.000228	16
0.539584	0.021200	0.000303	17
0.559568	0.021985	0.000371	18
0.579553	0.022771	0.000428	19
0.599537	0.023556	0.000475	20
0.619522	0.024341	0.000509	21
0.639507	0.025126	0.000530	22
0.659491	0.025911	0.000538	23
0.679476	0.026697	0.000534	24
0.699460	0.027482	0.000518	25
0.719445	0.028267	0.000492	26
0.739429	0.029052	0.000457	27
0.759414	0.029837	0.000415	28
0.779399	0.030623	0.000368	29
0.799383	0.031408	0.000318	30
0.819368	0.032193	0.000267	31
0.839352	0.032978	0.000217	32
0.859337	0.033763	0.000169	33
0.879322	0.034549	0.000126	34
0.899306	0.035334	0.000088	35
0.919291	0.036119	0.000056	36
0.939275	0.036904	0.000031	37
0.959260	0.037689	0.000013	38
0.979244	0.038475	0.000003	39
0.999229	0.039260	0.000000	40
1.019214	0.040045	0.000000	41
0
0.198614	0.023507	0.000000	0
0.218475	0.025858	-0.000044	1
0.238336	0.028209	-0.000145	2
0.258198	0.030560	-0.000270	3
0.278059	0.032910	-0.000392	4
0.297921	0.035261	-0.000492	5
0.317782	0.037612	-0.000558	6
0.337643	0.039963	-0.000585	7
0.357505	0.042313	-0.000571	8
0.377366	0.044664	-0.000518	9
0.397227	0.047015	-0.000428	10
0.417089	0.049366	-0.000308	11
0.436950	0.051716	-0.000164	12
0.456811	0.054067	-0.000003	13
0.476673	0.056418	0.000169	14
0.496534	0.058769	0.000342	15
0.516396	0.061119	0.000512	16
0.536257	0.063470	0.000671	17
0.556118	0.065821	0.000814	18
0.575980	0.068172	0.000937	19
0.595841	0.070522	0.001036	20
0.615702	0.072873	0.001109	21
0.635564	0.075224	0.001154	22
0.655425	0.077575	0.001171	23
0.675287	0.079925	0.001161	24
0.695148	0.082276	0.001127	25
0.715009	0.084627	0.001070	26
0.734871	0.086978	0.000994	27
0.754732	0.089328	0.000903	28
0.774593	0.091679	0.000801	29
0.794455	0.094030	0.000693	30
0.814316	0.096381	0.000581	31
0.834178	0.098731	0.000472	32
0.854039	0.101082	0.000368	33
0.873900	0.103433	0.000274	34
0.893762	0.105784	0.000191	35
0.913623	0.108134	0.000121	36
0.933484	0.110485	0.000067	37
0.953346	0.112836	0.000029	38
0.973207	0.115187	0.000007	39
0.993068	0.117537	0.000000	40
1.012930	0.119888	0.000000	41
1
0.196157	0.039018	0.000000	0
0.215773	0.042920	-0.000071	1
0.235388	0.046822	-0.000234	2
0.255004	0.050723	-0.000434	3
