time = 8	Re = 1	40	80
0.189414	0.014907	0.000019	0
0.209353	0.016476	-0.000019	1
0.229291	0.018046	-0.000262	2
0.249229	0.019615	-0.000488	3
0.269168	0.021184	-0.000681	4
0.289106	0.022753	-0.000853	5
0.309044	0.024322	-0.001017	6
0.328983	0.025891	-0.001177	7
0.348921	0.027461	-0.001337	8
0.368859	0.029030	-0.001497	9
0.388798	0.030599	-0.001653	10
0.408736	0.032168	-0.001804	11
0.428674	0.033737	-0.001941	12
0.448613	0.035307	-0.002054	13
0.468551	0.036876	-0.002124	14
0.488489	0.038445	-0.002117	15
0.508428	0.040014	-0.001974	16
0.528366	0.041583	-0.001586	17
0.548305	0.043152	-0.000754	18
0.568243	0.044722	0.000887	19
0.588181	0.046291	0.004008	20
0.608120	0.047860	0.009835	21
0.628058	0.049429	0.020611	22
0.647996	0.050998	0.040457	23
0.667935	0.052568	0.077037	24
0.687873	0.054137	0.144863	25
0.707811	0.055706	0.219454	26
0.727750	0.057275	0.293060	27
0.747688	0.058844	0.363432	28
0.767626	0.060413	0.430146	29
0.787565	0.061983	0.493361	30
0.807503	0.063552	0.553387	31
0.827441	0.065121	0.610536	32
0.847380	0.066690	0.665068	33
0.867318	0.068259	0.717178	34
0.887256	0.069829	0.766998	35
0.907195	0.071398	0.814594	36
0.927133	0.072967	0.859977	37
0.947071	0.074536	0.903104	38
0.967010	0.076105	0.943883	39
0.986948	0.077674	0.982180	40
1.006887	0.079244	1.017820	41
0
0.187661	0.029723	0.000273	0
0.207415	0.032851	-0.000273	1
0.227168	0.035980	-0.001033	2
0.246922	0.039109	-0.001735	3
0.266676	0.042237	-0.002355	4
0.286430	0.045366	-0.002914	5
0.306183	0.048495	-0.003432	6
0.325937	0.051623	-0.003917	7
0.345691	0.054752	-0.004368	8
0.365445	0.057881	-0.004775	9
0.385198	0.061009	-0.005118	10
0.404952	0.064138	-0.005367	11
0.424706	0.067267	-0.005477	12
0.444460	0.070395	-0.005385	13
0.464214	0.073524	-0.005000	14
0.483967	0.076653	-0.004185	15
0.503721	0.079782	-0.002736	16
0.523475	0.082910	-0.000349	17
0.543229	0.086039	0.003433	18
0.562982	0.089168	0.009289	19
0.582736	0.092296	0.018218	20
0.602490	0.095425	0.031644	21
0.622244	0.098554	0.051509	22
0.641997	0.101682	0.080248	23
0.661751	0.104811	0.120353	24
0.681505	0.107940	0.172778	25
0.701259	0.111068	0.232238	26
0.721013	0.114197	0.294511	27
0.740766	0.117326	0.357085	28
0.760520	0.120454	0.418649	29
0.780274	0.123583	0.478588	30
0.800028	0.126712	0.536662	31
0.819781	0.129840	0.592817	32
0.839535	0.132969	0.647088	33
0.859289	0.136098	0.699538	34
0.879043	0.139227	0.750238	35
0.898796	0.142355	0.799249	36
0.918550	0.145484	0.846622	37
0.938304	0.148613	0.892402	38
0.958058	0.151741	0.936627	39
0.977811	0.154870	0.979351	40
0.997565	0.157999	1.020649	41
1
0.184750	0.044355	0.000732	0
0.204198	0.049023	-0.000732	1
0.223645	0.053692	-0.002196	2
0.243092	0.058361	-0.003504	3
0.262540	0.063030	-0.004660	4
0.281987	0.067699	-0.005696	5
0.301435	0.072368	-0.006634	6
0.320882	0.077037	-0.007477	7
0.340329	0.081706	-0.008209	8
0.359777	0.086375	-0.008796	9
0.379224	0.091044	-0.009189	10
0.398672	0.095713	-0.009314	11
0.418119	0.100381	-0.009074	12
0.437566	0.105050	-0.008340	13
0.457014	0.109719	-0.006938	14
0.476461	0.114388	-0.004635	15
0.495909	0.119057	-0.001121	16
0.515356	0.123726	0.004014	17
0.534803	0.128395	0.011311	18
0.554251	0.133064	0.021465	19
0.573698	0.137733	0.035340	20
0.593146	0.142402	0.053961	21
0.612593	0.147070	0.078430	22
0.632040	0.151739	0.109752	23
0.651488	0.156408	0.148478	24
0.670935	0.161077	0.194185	25
0.690383	0.165746	0.245091	26
0.709830	0.170415	0.299226	27
0.729277	0.175084	0.354988	28
0.748725	0.179753	0.411247	29
0.768172	0.184422	0.467272	30
0.787620	0.189091	0.522623	31
0.807067	0.193759	0.577053	32
0.826514	0.198428	0.630444	33
0.845962	0.203097	0.682753	34
0.865409	0.207766	0.733991	35
0.884857	0.212435	0.784200	36
0.904304	0.217104	0.833452	37
0.923751	0.221773	0.881844	38
0.943199	0.226442	0.929505	39
0.962646	0.231111	0.976610	40
0.982094	0.235780	1.023390	41
2
0.180701	0.058713	0.001309	0
0.199722	0.064894	-0.001309	1
0.218743	0.071074	-0.003577	2
0.237764	0.077254	-0.005533	3
0.256785	0.083435	-0.007244	4
0.275806	0.089615	-0.008758	5
0.294828	0.095795	-0.010095	6
0.313849	0.101976	-0.011245	7
0.332870	0.108156	-0.012171	8
0.351891	0.114336	-0.012812	9
0.370912	0.120517	-0.013080	10
0.389933	0.126697	-0.012860	11
0.408954	0.132877	-0.012005	12
0.427975	0.139058	-0.010332	13
0.446997	0.145238	-0.007612	14
0.466018	0.151418	-0.003565	15
0.485039	0.157599	0.002154	16
0.504060	0.163779	0.009959	17
0.523081	0.169959	0.020336	18
0.542102	0.176140	0.033844	19
0.561123	0.182320	0.051091	20
0.580145	0.188500	0.072687	21
0.599166	0.194681	0.099169	22
0.618187	0.200861	0.130887	23
0.637208	0.207041	0.167859	24
0.656229	0.213222	0.209656	25
0.675250	0.219402	0.255419	26
0.694271	0.225582	0.304127	27
0.713292	0.231763	0.354822	28
0.732314	0.237943	0.406712	29
0.751335	0.244123	0.459198	30
0.770356	0.250304	0.511855	31
0.789377	0.256484	0.564399	32
0.808398	0.262664	0.616658	33
0.827419	0.268845	0.668545	34
0.846440	0.275025	0.720037	35
0.865462	0.281205	0.771165	36
0.884483	0.287386	0.822006	37
0.903504	0.293566	0.872683	38
0.922525	0.299746	0.923367	39
0.941546	0.305927	0.974281	40
0.960567	0.312107	1.025719	41
3
0.175537	0.072710	0.001911	0
0.194015	0.080363	-0.001911	1
0.212492	0.088017	-0.004988	2
0.230970	0.095671	-0.007568	3
0.249448	0.103324	-0.009791	4
0.267925	0.110978	-0.011727	5
0.286403	0.118632	-0.013394	6
0.304880	0.126285	-0.014766	7
0.323358	0.133939	-0.015787	8
0.341835	0.141593	-0.016364	9
0.360313	0.149246	-0.016378	10
0.378791	0.156900	-0.015681	11
0.397268	0.164554	-0.014090	12
0.415746	0.172207	-0.011393	13
0.434223	0.179861	-0.007339	14
0.452701	0.187515	-0.001641	15
0.471179	0.195168	0.006027	16
0.489656	0.202822	0.016025	17
0.508134	0.210476	0.028742	18
0.526611	0.218129	0.044579	19
0.545089	0.225783	0.063922	20
0.563567	0.233437	0.087108	21
0.582044	0.241090	0.114376	22
0.600522	0.248744	0.145814	23
0.618999	0.256398	0.181311	24
0.637477	0.264051	0.220541	25
0.655955	0.271705	0.262998	26
0.674432	0.279359	0.308087	27
0.692910	0.287012	0.355214	28
0.711387	0.294666	0.403844	29
0.729865	0.302320	0.453535	30
0.748343	0.309973	0.503946	31
0.766820	0.317627	0.554828	32
0.785298	0.325281	0.606017	33
0.803775	0.332934	0.657422	34
0.822253	0.340588	0.709013	35
0.840730	0.348242	0.760818	36
0.859208	0.355895	0.812915	37
0.877686	0.363549	0.865431	38
0.896163	0.371203	0.918543	39
0.914641	0.378856	0.972478	40
0.933118	0.386510	1.027522	41
4
0.169291	0.086258	0.002460	0
0.187111	0.095338	-0.002460	1
0.204932	0.104418	-0.006263	2
0.222752	0.113498	-0.009384	3
0.240572	0.122577	-0.012037	4
0.258392	0.131657	-0.014310	5
0.276212	0.140737	-0.016222	6
0.294032	0.149817	-0.017735	7
0.311852	0.158897	-0.018769	8
0.329672	0.167976	-0.019214	9
0.347493	0.177056	-0.018924	10
0.365313	0.186136	-0.017729	11
0.383133	0.195216	-0.015428	12
0.400953	0.204296	-0.011798	13
0.418773	0.213375	-0.006589	14
0.436593	0.222455	0.000468	15
0.454413	0.231535	0.009660	16
0.472234	0.240615	0.021283	17
0.490054	0.249695	0.035629	18
0.507874	0.258774	0.052975	19
0.525694	0.267854	0.073559	20
0.543514	0.276934	0.097561	21
0.561334	0.286014	0.125072	22
0.579154	0.295094	0.156081	23
0.596974	0.304173	0.190457	24
0.614795	0.313253	0.227954	25
0.632615	0.322333	0.268238	26
0.650435	0.331413	0.310924	27
0.668255	0.340493	0.355620	28
0.686075	0.349572	0.401960	29
0.703895	0.358652	0.449624	30
0.721715	0.367732	0.498353	31
0.739536	0.376812	0.547952	32
0.757356	0.385892	0.598285	33
0.775176	0.394971	0.649275	34
0.792996	0.404051	0.700902	35
0.810816	0.413131	0.753193	36
0.828636	0.422211	0.806223	37
0.846456	0.431291	0.860115	38
0.864277	0.440370	0.915032	39
0.882097	0.449450	0.971183	40
0.899917	0.458530	1.028817	41
5
0.162002	0.099275	0.002893	0
0.179054	0.109725	-0.002893	1
0.196107	0.120175	-0.007268	2
0.213160	0.130625	-0.010807	3
0.230213	0.141075	-0.013779	4
0.247266	0.151524	-0.016295	5
0.264319	0.161974	-0.018369	6
0.281371	0.172424	-0.019957	7
0.298424	0.182874	-0.020965	8
0.315477	0.193324	-0.021264	9
0.332530	0.203774	-0.020696	10
0.349583	0.214224	-0.019078	11
0.366635	0.224674	-0.016202	12
0.383688	0.235124	-0.011845	13
0.400741	0.245574	-0.005768	14
0.417794	0.256024	0.002275	15
0.434847	0.266474	0.012532	16
0.451899	0.276924	0.025245	17
0.468952	0.287374	0.040635	18
0.486005	0.297824	0.058898	19
0.503058	0.308274	0.080182	20
0.520111	0.318724	0.104581	21
0.537163	0.329174	0.132121	22
0.554216	0.339624	0.162752	23
0.571269	0.350074	0.196348	24
0.588322	0.360524	0.232717	25
0.605375	0.370974	0.271615	26
0.622427	0.381424	0.312768	27
0.639480	0.391874	0.355897	28
0.656533	0.402324	0.400736	29
0.673586	0.412774	0.447048	30
0.690639	0.423224	0.494637	31
0.707692	0.433673	0.543350	32
0.724744	0.444123	0.593081	33
0.741797	0.454573	0.643774	34
0.758850	0.465023	0.695414	35
0.775903	0.475473	0.748034	36
0.792956	0.485923	0.801706	37
0.810008	0.496373	0.856541	38
0.827061	0.506823	0.912688	39
0.844114	0.517273	0.970327	40
0.861167	0.527723	1.029673	41
6
0.153713	0.111679	0.003169	0
0.169894	0.123435	-0.003169	1
0.186074	0.135191	-0.007908	2
0.202254	0.146946	-0.011709	3
0.218435	0.158702	-0.014878	4
0.234615	0.170458	-0.017538	5
0.250795	0.182213	-0.019704	6
0.266976	0.193969	-0.021324	7
0.283156	0.205725	-0.022298	8
0.299336	0.217480	-0.022489	9
0.315517	0.229236	-0.021729	10
0.331697	0.240992	-0.019830	11
0.347877	0.252747	-0.016583	12
0.364058	0.264503	-0.011768	13
0.380238	0.276259	-0.005157	14
0.396418	0.288015	0.003479	15
0.412599	0.299770	0.014361	16
0.428779	0.311526	0.027696	17
0.444960	0.323282	0.043665	18
0.461140	0.335037	0.062417	19
0.477320	0.346793	0.084054	20
0.493501	0.358549	0.108630	21
0.509681	0.370304	0.136140	22
0.525861	0.382060	0.166522	23
0.542042	0.393816	0.199659	24
0.558222	0.405572	0.235386	25
0.574402	0.417327	0.273505	26
0.590583	0.429083	0.313798	27
0.606763	0.440839	0.356044	28
0.622943	0.452594	0.400030	29
0.639124	0.464350	0.445567	30
0.655304	0.476106	0.492495	31
0.671484	0.487861	0.540690	32
0.687665	0.499617	0.590067	33
0.703845	0.511373	0.640581	34
0.720025	0.523128	0.692228	35
0.736206	0.534884	0.745040	36
0.752386	0.546640	0.799089	37
0.768566	0.558396	0.854477	38
0.784747	0.570151	0.911341	39
0.800927	0.581907	0.969840	40
0.817107	0.593663	1.030160	41
7
0.144477	0.123395	0.003264	0
0.159685	0.136384	-0.003264	1
0.174893	0.149373	-0.008128	2
0.190102	0.162362	-0.012017	3
0.205310	0.175351	-0.015253	4
0.220518	0.188340	-0.017959	5
0.235726	0.201329	-0.020154	6
0.250934	0.214318	-0.021783	7
0.266142	0.227307	-0.022741	8
0.281350	0.240296	-0.022890	9
0.296558	0.253285	-0.022060	10
0.311767	0.266274	-0.020061	11
0.326975	0.279262	-0.016683	12
0.342183	0.292251	-0.011709	13
0.357391	0.305240	-0.004915	14
0.372599	0.318229	0.003922	15
0.387807	0.331218	0.015014	16
0.403015	0.344207	0.028556	17
0.418223	0.357196	0.044715	18
0.433432	0.370185	0.063624	19
0.448640	0.383174	0.085373	20
0.463848	0.396163	0.110001	21
0.479056	0.409152	0.137495	22
0.494264	0.422141	0.167791	23
0.509472	0.435130	0.200772	24
0.524680	0.448119	0.236284	25
0.539889	0.461108	0.274144	26
0.555097	0.474097	0.314148	27
0.570305	0.487086	0.356095	28
0.585513	0.500075	0.399790	29
0.600721	0.513064	0.445059	30
0.615929	0.526053	0.491755	31
0.631137	0.539042	0.539766	32
0.646345	0.552030	0.589015	33
0.661554	0.565019	0.639463	34
0.676762	0.578008	0.691108	35
0.691970	0.590997	0.743986	36
0.707178	0.603986	0.798167	37
0.722386	0.616975	0.853751	38
0.737594	0.629964	0.910868	39
0.752802	0.642953	0.969670	40
0.768010	0.655942	1.030330	41
8
0.134350	0.134350	0.003169	0
0.148493	0.148492	-0.003169	1
0.162635	0.162634	-0.007908	2
0.176777	0.176777	-0.011708	3
0.190919	0.190919	-0.014876	4
0.205061	0.205061	-0.017534	5
0.219203	0.219203	-0.019699	6
0.233345	0.233345	-0.021316	7
0.247488	0.247487	-0.022287	8
0.261630	0.261629	-0.022473	9
0.275772	0.275771	-0.021707	10
0.289914	0.289914	-0.019800	11
0.304056	0.304056	-0.016544	12
0.318198	0.318198	-0.011718	13
0.332340	0.332340	-0.005094	14
0.346483	0.346482	0.003556	15
0.360625	0.360624	0.014453	16
0.374767	0.374766	0.027805	17
0.388909	0.388908	0.043791	18
0.403051	0.403051	0.062558	19
0.417193	0.417193	0.084209	20
0.431335	0.431335	0.108795	21
0.445478	0.445477	0.136309	22
0.459620	0.459619	0.166689	23
0.473762	0.473761	0.199816	24
0.487904	0.487903	0.235524	25
0.502046	0.502045	0.273614	26
0.516188	0.516188	0.313870	27
0.530330	0.530330	0.356071	28
0.544473	0.544472	0.400006	29
0.558615	0.558614	0.445489	30
0.572757	0.572756	0.492364	31
0.586899	0.586898	0.540511	32
0.601041	0.601040	0.589848	33
0.615183	0.615182	0.640335	34
0.629325	0.629325	0.691970	35
0.643468	0.643467	0.744789	36
0.657610	0.657609	0.798863	37
0.671752	0.671751	0.854297	38
0.685894	0.685893	0.911223	39
0.700036	0.700035	0.969798	40
0.714178	0.714177	1.030202	41
9
0.123395	0.144477	0.002893	0
0.136384	0.159685	-0.002893	1
0.149373	0.174893	-0.007267	2
0.162362	0.190101	-0.010805	3
0.175351	0.205309	-0.013776	4
0.188340	0.220518	-0.016289	5
0.201329	0.235726	-0.018360	6
0.214318	0.250934	-0.019943	7
0.227307	0.266142	-0.020944	8
0.240296	0.281350	-0.021235	9
0.253285	0.296558	-0.020656	10
0.266274	0.311766	-0.019023	11
0.279263	0.326974	-0.016130	12
0.292252	0.342182	-0.011752	13
0.305241	0.357391	-0.005651	14
0.318230	0.372599	0.002420	15
0.331219	0.387807	0.012709	16
0.344208	0.403015	0.025454	17
0.357197	0.418223	0.040879	18
0.370186	0.433431	0.059174	19
0.383175	0.448639	0.080488	20
0.396164	0.463847	0.104910	21
0.409153	0.479055	0.132463	22
0.422142	0.494264	0.163093	23
0.435131	0.509472	0.196672	24
0.448120	0.524680	0.233006	25
0.461109	0.539888	0.271849	26
0.474097	0.555096	0.312928	27
0.487086	0.570304	0.355966	28
0.500075	0.585512	0.400702	29
0.513064	0.600720	0.446905	30
0.526053	0.615928	0.494385	31
0.539042	0.631137	0.542998	32
0.552031	0.646345	0.592646	33
0.565020	0.661553	0.643280	34
0.578009	0.676761	0.694893	35
0.590998	0.691969	0.747523	36
0.603987	0.707177	0.801244	37
0.616976	0.722385	0.856170	38
0.629965	0.737593	0.912443	39
0.642954	0.752801	0.970240	40
0.655943	0.768010	1.029760	41
10
0.111679	0.153713	0.002460	0
0.123435	0.169893	-0.002460	1
0.135191	0.186074	-0.006262	2
0.146946	0.202254	-0.009383	3
0.158702	0.218434	-0.012033	4
0.170458	0.234615	-0.014304	5
0.182214	0.250795	-0.016211	6
0.193969	0.266975	-0.017717	7
0.205725	0.283156	-0.018744	8
0.217481	0.299336	-0.019177	9
0.229236	0.315516	-0.018873	10
0.240992	0.331697	-0.017659	11
0.252748	0.347877	-0.015335	12
0.264504	0.364057	-0.011676	13
0.276259	0.380238	-0.006433	14
0.288015	0.396418	0.000665	15
0.299771	0.412598	0.009902	16
0.311527	0.428779	0.021575	17
0.323282	0.444959	0.035973	18
0.335038	0.461139	0.053372	19
0.346794	0.477320	0.074006	20
0.358549	0.493500	0.098049	21
0.370305	0.509680	0.125588	22
0.382061	0.525861	0.156606	23
0.393817	0.542041	0.190966	24
0.405572	0.558221	0.228418	25
0.417328	0.574402	0.268626	26
0.429084	0.590582	0.311204	27
0.440839	0.606762	0.355765	28
0.452595	0.622943	0.401947	29
0.464351	0.639123	0.449442	30
0.476107	0.655303	0.498002	31
0.487862	0.671484	0.547442	32
0.499618	0.687664	0.597640	33
0.511374	0.703844	0.648534	34
0.523129	0.720025	0.700111	35
0.534885	0.736205	0.752410	36
0.546641	0.752385	0.805511	37
0.558397	0.768566	0.859537	38
0.570152	0.784746	0.914648	39
0.581908	0.800926	0.971044	40
0.593664	0.817107	1.028956	41
11
0.099275	0.162002	0.001912	0
0.109725	0.179054	-0.001912	1
0.120175	0.196107	-0.004988	2
0.130625	0.213160	-0.007567	3
0.141075	0.230213	-0.009788	4
0.151525	0.247266	-0.011721	5
0.161975	0.264318	-0.013383	6
0.172425	0.281371	-0.014749	7
0.182875	0.298424	-0.015761	8
0.193325	0.315477	-0.016326	9
0.203775	0.332529	-0.016325	10
0.214225	0.349582	-0.015607	11
0.224675	0.366635	-0.013991	12
0.235125	0.383688	-0.011261	13
0.245575	0.400741	-0.007166	14
0.256025	0.417793	-0.001420	15
0.266475	0.434846	0.006305	16
0.276925	0.451899	0.016368	17
0.287375	0.468952	0.029155	18
0.297825	0.486005	0.045066	19
0.308275	0.503057	0.064482	20
0.318725	0.520110	0.087735	21
0.329175	0.537163	0.115056	22
0.339625	0.554216	0.146523	23
0.350075	0.571269	0.182017	24
0.360525	0.588321	0.221204	25
0.370975	0.605374	0.263573	26
0.381424	0.622427	0.308527	27
0.391874	0.639480	0.355476	28
0.402324	0.656533	0.403895	29
0.412774	0.673585	0.453355	30
0.423224	0.690638	0.503530	31
0.433674	0.707691	0.554188	32
0.444124	0.724744	0.605185	33
0.454574	0.741797	0.656447	34
0.465024	0.758849	0.707959	35
0.475474	0.775902	0.759763	36
0.485924	0.792955	0.811944	37
0.496374	0.810008	0.864635	38
0.506824	0.827061	0.918008	39
0.517274	0.844113	0.972281	40
0.527724	0.861166	1.027719	41
12
0.086258	0.169291	0.001309	0
0.095338	0.187111	-0.001309	1
0.104418	0.204931	-0.003577	2
0.113498	0.222752	-0.005533	3
0.122578	0.240572	-0.007242	4
0.131657	0.258392	-0.008753	5
0.140737	0.276212	-0.010086	6
0.149817	0.294032	-0.011230	7
0.158897	0.311852	-0.012149	8
0.167977	0.329672	-0.012780	9
0.177057	0.347492	-0.013034	10
0.186136	0.365313	-0.012795	11
0.195216	0.383133	-0.011916	12
0.204296	0.400953	-0.010211	13
0.213376	0.418773	-0.007451	14
0.222456	0.436593	-0.003353	15
0.231536	0.454413	0.002428	16
0.240615	0.472233	0.010305	17
0.249695	0.490053	0.020766	18
0.258775	0.507873	0.034368	19
0.267855	0.525694	0.051713	20
0.276935	0.543514	0.073406	21
0.286015	0.561334	0.099975	22
0.295094	0.579154	0.131758	23
0.304174	0.596974	0.168758	24
0.313254	0.614794	0.210532	25
0.322334	0.632614	0.256209	26
0.331414	0.650434	0.304765	27
0.340493	0.668255	0.355248	28
0.349573	0.686075	0.406876	29
0.358653	0.703895	0.459069	30
0.367733	0.721715	0.511423	31
0.376813	0.739535	0.563677	32
0.385893	0.757355	0.615683	33
0.394972	0.775175	0.667376	34
0.404052	0.792995	0.718753	35
0.413132	0.810816	0.769863	36
0.422212	0.828636	0.820795	37
0.431292	0.846456	0.871679	38
0.440372	0.864276	0.922684	39
0.449451	0.882096	0.974026	40
0.458531	0.899916	1.025974	41
13
0.072710	0.175537	0.000732	0
0.080364	0.194015	-0.000732	1
0.088017	0.212492	-0.002197	2
0.095671	0.230970	-0.003504	3
0.103325	0.249447	-0.004658	4
0.110978	0.267925	-0.005693	5
0.118632	0.286403	-0.006628	6
0.126286	0.304880	-0.007467	7
0.133940	0.323358	-0.008194	8
0.141593	0.341835	-0.008775	9
0.149247	0.360313	-0.009157	10
0.156901	0.378790	-0.009268	11
0.164554	0.397268	-0.009010	12
0.172208	0.415746	-0.008250	13
0.179862	0.434223	-0.006814	14
0.187515	0.452701	-0.004468	15
0.195169	0.471178	-0.000898	16
0.202823	0.489656	0.004307	17
0.210476	0.508134	0.011689	18
0.218130	0.526611	0.021944	19
0.225784	0.545089	0.035935	20
0.233437	0.563566	0.054680	21
0.241091	0.582044	0.079276	22
0.248745	0.600521	0.110712	23
0.256399	0.618999	0.149520	24
0.264052	0.637477	0.195251	25
0.271706	0.655954	0.246099	26
0.279360	0.674432	0.300085	27
0.287013	0.692909	0.355612	28
0.294667	0.711387	0.411569	29
0.302321	0.729865	0.467249	30
0.309974	0.748342	0.522239	31
0.317628	0.766820	0.576322	32
0.325282	0.785297	0.629405	33
0.332935	0.803775	0.681474	34
0.340589	0.822252	0.732562	35
0.348243	0.840730	0.782732	36
0.355896	0.859208	0.832070	37
0.363550	0.877685	0.880685	38
0.371204	0.896163	0.928708	39
0.378858	0.914640	0.976306	40
0.386511	0.933118	1.023694	41
14
0.058713	0.180701	0.000273	0
0.064894	0.199722	-0.000273	1
0.071074	0.218743	-0.001033	2
0.077255	0.237764	-0.001735	3
0.083435	0.256785	-0.002355	4
0.089615	0.275806	-0.002913	5
0.095796	0.294827	-0.003429	6
0.101976	0.313849	-0.003913	7
0.108156	0.332870	-0.004361	8
0.114337	0.351891	-0.004765	9
0.120517	0.370912	-0.005102	10
0.126697	0.389933	-0.005343	11
0.132878	0.408954	-0.005443	12
0.139058	0.427975	-0.005337	13
0.145238	0.446996	-0.004931	14
